document,line_number,character,dialogue
a new hope,1,THREEPIO,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!
a new hope,2,THREEPIO,We're doomed!
a new hope,3,THREEPIO,There'll be no escape for the Princess this time.
a new hope,4,THREEPIO,What's that?
a new hope,5,THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...
a new hope,6,LUKE,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!
a new hope,7,THREEPIO,"Artoo! Artoo-Detoo, where are you?"
a new hope,8,THREEPIO,At last!  Where have you been?
a new hope,9,THREEPIO,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!
a new hope,10,THREEPIO,"Wait a minute, where are you going?"
a new hope,11,IMPERIAL OFFICER,The Death Star plans are not in the main computer.
a new hope,12,VADER,Where are those transmissions you intercepted?
a new hope,13,REBEL OFFICER,We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.
a new hope,14,VADER,If this is a consular ship... where is the Ambassador?
a new hope,15,VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!"
a new hope,16,TROOPER,There she is! Set for stun!
a new hope,17,TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.
a new hope,18,THREEPIO,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure.."
a new hope,19,THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you."
a new hope,20,THREEPIO,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!
a new hope,21,THREEPIO,I'm going to regret this.
a new hope,22,CHIEF PILOT,There goes another one.
a new hope,23,CAPTAIN,Hold your fire.  There are no life forms.  It must have been short-circuited.
a new hope,24,THREEPIO,"That's funny, the damage doesn't look as bad from out here."
a new hope,25,THREEPIO,Are you sure this things safe?
a new hope,26,WOMAN,I've told you kids to slow down!
a new hope,27,FIXER,Did I hear a young noise blast through here?
a new hope,28,CAMIE,It was just Wormie on another rampage.
a new hope,29,LUKE,Shape it up you guys!...  Biggs?
a new hope,30,LUKE,I didn't know you were back!  When did you get in?
a new hope,31,BIGGS,"Just now.  I wanted to surprise you, hot shot.  I thought you'd be here... certainly didn't expect you to be out working."
a new hope,32,LUKE,"The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?"
a new hope,33,BIGGS,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.
a new hope,34,LUKE,I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!
a new hope,35,DEAK,Not again!  Forget it.
a new hope,36,LUKE,There they are!
a new hope,37,BIGGS,"That's no battle, hot shot... they're just sitting there!  Probably a freighter-tanker refueling."
a new hope,38,LUKE,But there was a lot of firing earlier...
a new hope,39,LUKE,"Hey, easy with those..."
a new hope,40,CAMIE,"Don't worry about it, Wormie."
a new hope,41,FIXER,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing..."
a new hope,42,LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic..."
a new hope,43,VADER,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you."
a new hope,44,LEIA,I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...
a new hope,45,VADER,You're a part of the Rebel Alliance... and a traitor.  Take her away!
a new hope,46,COMMANDER,"Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate."
a new hope,47,VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!
a new hope,48,COMMANDER,you anything.
a new hope,49,VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!
a new hope,50,SECOND OFFICER,"Lord Vader, the battle station plans are not aboard this ship!  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard."
a new hope,51,VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time."
a new hope,52,COMMANDER,"Yes, sir."
a new hope,53,THREEPIO,How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.
a new hope,54,THREEPIO,I've got to rest before I fall apart.  My joints are almost frozen.
a new hope,55,THREEPIO,What a desolate place this is.
a new hope,56,THREEPIO,Where are you going?
a new hope,57,THREEPIO,"Well, I'm not going that way.  It's much too rocky.  This way is much easier."
a new hope,58,THREEPIO,What makes you think there are settlements over there?
a new hope,59,THREEPIO,Don't get technical with me.
a new hope,60,THREEPIO,"What mission?  What are you talking about?  I've had just about enough of you!  Go that way!  You'll be malfunctioning within a day, you nearsighted scrap pile!"
a new hope,61,THREEPIO,"And don't let me catch you following me begging for help, because you won't get it."
a new hope,62,THREEPIO,No more adventures.  I'm not going that way.
a new hope,63,THREEPIO,"That malfunctioning little twerp.  This is all his fault!  He tricked me into going this way, but he'll do no better."
a new hope,64,THREEPIO,"Wait, what's that?  A transport!  I'm saved!"
a new hope,65,THREEPIO,"Over here!  Help!  Please, help!"
a new hope,66,LUKE,"... so I cut off my power, shut down the afterburners and came in low on Deak's trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic."
a new hope,67,BIGGS,"You ought to take it a little easy Luke.  You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous.  Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall."
a new hope,68,LUKE,Look who's talking.  Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...
a new hope,69,BIGGS,I've missed you kid.
a new hope,70,LUKE,"Well, things haven't been the same since you left, Biggs.  It's been so...quiet."
a new hope,71,BIGGS,"Luke, I didn't come back just to say goodbye...  I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know."
a new hope,72,LUKE,What are you talking about?
a new hope,73,BIGGS,"I made some friends at the Academy. ... when our frigate goes to one of the central systems, we're going to jump ship and join the Alliance..."
a new hope,74,LUKE,Join the Rebellion?!  Are you kidding!  How?
a new hope,75,BIGGS,Quiet down will ya!  You got a mouth bigger than a meteor crater!
a new hope,76,LUKE,I'm sorry.  I'm quiet. Listen how quiet I am.  You can barely hear me...
a new hope,77,BIGGS,My friend has a friend on Bestine who might help us make contact.
a new hope,78,LUKE,around forever trying to find them.
a new hope,79,BIGGS,"I know it's a long shot, but if I don't find them I'll do what I can on my own...  It's what we always talked about.  Luke, I'm not going to wait for the Empire to draft me into service.  The Rebellion is spreading and I want to be on the right side - the side I believe in."
a new hope,80,LUKE,And I'm stuck here...
a new hope,81,BIGGS,I thought you were going to the Academy next term.  You'll get your chance to get off this rock.
a new hope,82,LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they've even raided the outskirts of Anchorhead.
a new hope,83,BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.
a new hope,84,LUKE,"I know, but he's got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can't leave him now."
a new hope,85,BIGGS,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important.  What good is all your uncle's work if it's taken over by the Empire?...  You know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire."
a new hope,86,LUKE,It couldn't happen here.  You said it yourself.  The Empire won't bother with this rock.
a new hope,87,BIGGS,Things always change.
a new hope,88,LUKE,I wish I was going...  Are you going to be around long?
a new hope,89,BIGGS,"No, I'm leaving in the morning..."
a new hope,90,LUKE,Then I guess I won't see you.
a new hope,91,BIGGS,Maybe someday...  I'll keep a lookout.
a new hope,92,LUKE,"Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got."
a new hope,93,BIGGS,"So long, Luke."
a new hope,94,THREEPIO,Artoo-Detoo!  It's you!  It's you!
a new hope,95,FIRST TROOPER,Someone was in the pod.  The tracks go off in this direction.
a new hope,96,SECOND TROOPER,"Look, sir - droids."
a new hope,97,THREEPIO,Wake up!  Wake up!
a new hope,98,THREEPIO,We're doomed.
a new hope,99,THREEPIO,Do you think they'll melt us down?
a new hope,100,THREEPIO,Don't shoot!  Don't shoot!  Will this never end?
a new hope,101,BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce."
a new hope,102,LUKE,It looks like we don't have much of a choice but I'll remind him.
a new hope,103,OWEN,I have no need for a protocol droid.
a new hope,104,THREEPIO,Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...
a new hope,105,OWEN,What I really need is a droid that understands the binary languages of moisture vaporators.
a new hope,106,THREEPIO,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...
a new hope,107,OWEN,Do you speak Bocce?
a new hope,108,THREEPIO,"Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce..."
a new hope,109,OWEN,All right; shut up! I'll take this one.
a new hope,110,THREEPIO,"Shutting up, sir."
a new hope,111,OWEN,"Luke, take these two over to the garage, will you?  I want you to have both of them cleaned up before dinner."
a new hope,112,LUKE,But I was going into Toshi Station to pick up some power converters...
a new hope,113,OWEN,"You can waste time with your friends when your chores are done.  Now, come on, get to it!"
a new hope,114,LUKE,"All right, come on!  And the red one, come on.  Well, come on, Red, let's go."
a new hope,115,LUKE,Uncle Owen...
a new hope,116,OWEN,Yeah?
a new hope,117,LUKE,This R2 unit has a bad motivator.  Look!
a new hope,118,OWEN,"Hey, what're you trying to push on us?"
a new hope,119,THREEPIO,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain."
a new hope,120,LUKE,Uncle Owen...
a new hope,121,OWEN,Yeah?
a new hope,122,LUKE,What about that one?
a new hope,123,OWEN,What about that blue one?  We'll take that one.
a new hope,124,LUKE,"Yeah, take it away."
a new hope,125,THREEPIO,"Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes."
a new hope,126,LUKE,"Okay, let's go."
a new hope,127,THREEPIO,"Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!"
a new hope,128,THREEPIO,"Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!"
a new hope,129,LUKE,"It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!"
a new hope,130,THREEPIO,Is there anything I might do to help?
a new hope,131,LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!"
a new hope,132,THREEPIO,"I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on."
a new hope,133,LUKE,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from."
a new hope,134,THREEPIO,"I see, sir."
a new hope,135,LUKE,"Uh, you can call me Luke."
a new hope,136,THREEPIO,"I see, sir Luke."
a new hope,137,LUKE,Just Luke.
a new hope,138,THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo."
a new hope,139,LUKE,Hello.
a new hope,140,LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.
a new hope,141,THREEPIO,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all."
a new hope,142,LUKE,You know of the Rebellion against the Empire?
a new hope,143,THREEPIO,"That's how we came to be in your service, if you take my meaning, sir."
a new hope,144,LUKE,Have you been in many battles?
a new hope,145,THREEPIO,"Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways."
a new hope,146,LUKE,"Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or..."
a new hope,147,LEIA,"Help me, Obi-Wan Kenobi.  You'remy only hope."
a new hope,148,LUKE,What's this?
a new hope,149,THREEPIO,What is what?!?  He asked you a question...What is that?
a new hope,150,LEIA,"Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope."
a new hope,151,THREEPIO,"Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind."
a new hope,152,LUKE,Who is she?  She's beautiful.
a new hope,153,THREEPIO,"I'm afraid I'm not quite sure, sir."
a new hope,154,LEIA,"Help me, Obi-Wan Kenobi..."
a new hope,155,THREEPIO,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to..."
a new hope,156,LUKE,Is there more to this recording?
a new hope,157,THREEPIO,"Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master."
a new hope,158,THREEPIO,"He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric."
a new hope,159,LUKE,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?
a new hope,160,THREEPIO,"I beg your pardon, sir, but do you know what he's talking about?"
a new hope,161,LUKE,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit."
a new hope,162,LUKE,I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing.
a new hope,163,THREEPIO,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording."
a new hope,164,LUKE,"H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay."
a new hope,165,LUKE,There you go.
a new hope,166,LUKE,"Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message."
a new hope,167,THREEPIO,been playing.  The one you're carrying inside your rusty innards!
